horizon,subset,model,fold_id,n_features,mape,n_eval
20,S5_plus_calendar,Ridge,2,106,1.4917539556969586,90
20,S5_plus_calendar,Ridge,3,106,4.129328629125341,90
20,S5_plus_calendar,Ridge,4,106,9.965665130355301,90
20,S5_plus_calendar,ElasticNet,0,106,2.30551950460481,90
20,S5_plus_calendar,ElasticNet,1,106,0.7095344963453832,90
20,S5_plus_calendar,ElasticNet,2,106,1.1139982556268928,90
20,S5_plus_calendar,ElasticNet,3,106,3.869814590496624,90
20,S5_plus_calendar,ElasticNet,4,106,7.295233146028202,90
20,S6_full,Ridge,0,116,5.195890272187724,90
20,S6_full,Ridge,1,116,2.469521332097552,90
20,S6_full,Ridge,2,116,1.4917539556968817,90
20,S6_full,Ridge,3,116,4.129328629125709,90
20,S6_full,Ridge,4,116,9.965665130354843,90
20,S6_full,ElasticNet,0,116,2.30551950460481,90
20,S6_full,ElasticNet,1,116,0.7095344963453832,90
20,S6_full,ElasticNet,2,116,1.1139982556268928,90
20,S6_full,ElasticNet,3,116,3.869814590496624,90
20,S6_full,ElasticNet,4,116,7.295233146028202,90
