horizon,model,metric,mean,std,min,max,count
5,N-BEATS,HitRate_0.5pct,13.72093023255814,11.13489732081313,2.3255813953488373,29.069767441860467,5
5,PatchTST,HitRate_0.5pct,14.883720930232556,12.984785372226632,3.488372093023256,34.883720930232556,5
5,LSTMv2,HitRate_0.5pct,15.11111111111111,11.183100124521005,2.2222222222222223,31.11111111111111,5
5,TimeMixer,HitRate_0.5pct,16.046511627906977,13.644842243447403,3.488372093023256,34.883720930232556,5
5,GRU,HitRate_0.5pct,16.88888888888889,10.523342660045843,2.2222222222222223,31.11111111111111,5
5,TSMixer,HitRate_0.5pct,17.44186046511628,12.684548970506645,3.488372093023256,32.55813953488372,5
5,TSMixer,MAE,2.3720463327807044,2.0342389592272676,0.40894275044285966,4.678890583127044,5
5,N-BEATS,MAE,2.8440711066667417,2.39974802357222,0.8823379516601555,5.820842217733692,5
5,N-HiTS,MAE,2.9087452605491455,2.6316187437214866,0.834458799140398,6.733878344158792,5
5,TimeMixer,MAE,3.562835762201354,2.983317820973168,0.32369815915129946,7.848936150129451,5
5,GRU,MAE,4.014732254367405,3.463693161423214,0.41936570909288207,8.58678745863173,5
5,PatchTST,MAE,4.500118093801099,5.8611539953589835,0.4002433421999913,14.124039696981738,5
5,LSTMv2,MAE,5.608189551798503,4.492529280030842,1.6934721544053823,12.286568749321832,5
5,TSMixer,MAPE,3.093413153589424,2.4744087873286245,0.6100491798585184,6.028044132123501,5
5,N-BEATS,MAPE,3.7159565553497664,2.8816213015076064,1.3136590961222687,7.11662992136493,5
5,N-HiTS,MAPE,3.789231924513705,3.2410328111425053,1.2431939605497953,8.697457832935331,5
5,TimeMixer,MAPE,4.736676480347981,3.706537068347566,0.4821337096954268,9.928356076446436,5
5,GRU,MAPE,5.244721457104668,4.252804644474586,0.6068487182141916,10.236631057445512,5
5,PatchTST,MAPE,5.763141082689402,7.250946442572125,0.5962851646662178,17.608593179045016,5
5,LSTMv2,MAPE,7.299081262301735,5.183873948444024,2.4509318105751268,14.647692559282719,5
5,TSMixer,MASE,5.051917909549676,4.402889037177381,0.8440229869326663,10.511093211961834,5
5,N-BEATS,MASE,6.029786802037606,5.099772200519288,1.7507752755047454,11.774637911516233,5
5,N-HiTS,MASE,6.227749533478599,5.853057460648884,1.7222518490913672,15.127608072031377,5
5,TimeMixer,MASE,7.460180214674442,6.156426574375345,0.6680854150259842,15.87714933705367,5
5,GRU,MASE,8.34291868159941,7.110982882414758,0.9155605874844598,17.369705167494196,5
5,PatchTST,MASE,9.415326696666316,11.934982101110721,0.8260681496804081,28.570685660088444,5
5,LSTMv2,MASE,11.725578894438929,9.264275877955107,3.5795747633074875,24.853774211138425,5
